iteration, score
0, 570
1, 1064
2, 546
3, 1150
4, 1746
5, 928
6, 1060
7, 1074
8, 586
9, 1088
10, 1590
11, 1324
12, 672
13, 1130
14, 606
15, 1636
16, 318
17, 1100
18, 1874
19, 1598
20, 1858
21, 980
22, 1248
23, 596
24, 2072
25, 1354
26, 1958
27, 600
28, 1078
29, 1060
30, 1602
31, 1096
32, 2026
33, 976
34, 1416
35, 1422
36, 1100
37, 1772
38, 1156
39, 938
40, 964
41, 984
42, 572
43, 1664
44, 1066
45, 1016
46, 1750
47, 920
48, 1072
49, 592
50, 640
51, 1724
52, 1160
53, 1996
54, 710
55, 1066
56, 884
57, 664
58, 1002
59, 1050
60, 1616
61, 1608
62, 1136
63, 1798
64, 1054
65, 1744
66, 816
67, 1970
68, 2036
69, 1074
70, 574
71, 1578
72, 1384
73, 1242
74, 1800
75, 1078
76, 856
77, 1624
78, 1100
79, 1620
80, 1074
81, 576
82, 1074
83, 1114
84, 1092
85, 1864
86, 982
87, 1484
88, 1592
89, 1144
90, 1094
91, 1576
92, 1184
93, 2098
94, 986
95, 1864
96, 532
97, 1400
98, 1496
99, 1722
